id,title,topic_name,category_name,,,,,,,,,,,,,,,,,,,,,,,
59,[BUG]: MLflow server integration,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
60,[BUG]: Nested runs stacked indefinetely (Databricks),Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
61,[BUG]: Each run becomes a nested run when using FugueBackend,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
62,[BUG]: Pycaret does not handle nested runs properly with MLflow,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
63,Potential for a discrepancy in hash and size when artifact is store with dvc,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
64,load: Issues loading models from DVC managed remote storage,Execution,Environment,,,,,,,,,,,,,,,,,,,,,,,
65,[BUG]: log_plots not uploading/logging in MLFlow ,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
66,[BUG]: finalize_model() logs wrong model.pkl to mlflow,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
67,Cryptocurrency: DVC icon broken,Authoriaztion,Support,,,,,,,,,,,,,,,,,,,,,,,
68,MK-819: Test DVCS,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
69,Tr??ng nh?p   ??a ch? th?c hi?n DVC c?p 3  trong m¨¤n h¨¬nh qu?n ly th? t?c h¨¤nh ch¨ªnh c¨® ?? d¨¤i qu¨¢ ng?n,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
70,"1. Tr¨ºn danh s¨¢ch ch?n dvc ?i th?c hi?n, ch?n trang Cu?i c¨´ng¡ú  2. L?i: Danh s¨¢ch c¨¢c dvc th?c hi?n g?n ?ay b? m?t + hi?n th? n¨²t Th¨ºm h? s?",Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
71,Hi?n th? sai c? quan th?c hi?n tr¨ºn danh s¨¢ch ch?n DVC ,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
72,Hi?n th? sai c? quan th?c hi?n tr¨ºn danh s¨¢ch dvc trong quy tr¨¬nh,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
73,Ch? hi?n th? nh?ng c? quan th?c hi?n dvc ???c g¨¢n khi c?u h¨¬nh DVC,Installation,Environment,,,,,,,,,,,,,,,,,,,,,,,
74,tfx extension publish shows incorrect  sharing  status,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
75,It would be nice if tfx would warn me I m unrecognized parameters,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
76,Packaging this lib causes tfx-cli to fail when running `extension create`,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
77,TFX-CLI does not install on OSX,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
78,tfx extension create command incorrectly warning about invalid installation target,Model monitoring,Model,,,,,,,,,,,,,,,,,,,,,,,
79,tfs-cli - tfx build tasks create - does not create seed files,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
80,tfx 0.3.38 stopped working on OSX,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
81, tfx extension  incorrectly prompts for a PAT (and then won t accept one if provided),Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
82, tfx extension --help  fails with error; unable to see extension commands,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
83, tfx extension publisher create  help argument description not correct,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
84,tfx extension install throws 409 Conflict error where it used to report a warning,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
85,Hitting TypeError: Undefined is not a function with latest tfx-cli,Dependency,Component,,,,,,,,,,,,,,,,,,,,,,,
86,Create dvc command and make it work,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
87,DVC/Git failed. ,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
88,Remove dvc.py from output,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
89,dvc repro unable to identify changes after fast forward merge,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
90, dvc status  returns 1 if called with a directory,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
91,dvc repro error,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
92,Exception when calling dvc not in dvc repo,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
93,Check that  dvc graph  doesn t use external commands,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
94,dvc import error,Data management,Data,,,,,,,,,,,,,,,,,,,,,,,
